280,14.5,55.0,23.9,,,4.6,,
281,13.5,55.7,22.4,,,3.5,,1.5
282,41.2,36.6,14.8,,,,,6.4
283,34.0,37.4,19.1,,,,6.3,1.5
284,50.2,15.7,26.4,,,1.4,3.3,
285,20.2,57.7,13.8,,,1.6,3.8,3.0
286,36.4,43.9,16.0,,,1.5,0.9,1.2
287,56.8,7.9,30.5,,,,,2.9
288,60.6,9.8,25.5,,,,,4.2
289,58.3,13.1,23.4,,,,,5.2
290,32.7,32.8,31.2,,,1.4,0.6,0.8
291,49.0,12.7,31.1,,,,3.1,2.7
292,44.9,33.7,13.7,,,,4.0,3.6
293,45.7,6.4,43.8,,,,2.1,2.0
294,44.7,37.6,14.3,,,1.7,,1.9
295,36.8,43.6,16.2,,,1.4,,2.1
296,28.1,42.5,17.1,,,,5.2,7.0
297,46.9,20.0,23.6,,,1.9,2.2,5.2
298,41.1,37.1,15.7,,,,2.6,2.8
299,51.1,17.7,23.4,,,,,6.0
300,29.4,54.8,8.7,,,0.8,3.6,
301,33.6,12.5,48.8,,,,,5.1
302,50.0,20.8,22.9,,,,3.3,2.5
303,24.3,46.8,12.9,,,,7.0,
304,42.3,42.1,12.4,,,1.1,,2.1
305,56.2,10.9,25.2,,,2.5,1.9,3.4
306,46.2,7.3,41.1,,,,2.0,3.4
307,51.8,7.1,31.0,,,3.2,,5.7
308,53.8,13.8,26.0,,,,2.3,3.1
309,53.5,16.4,23.4,,,1.7,,4.1
310,54.2,11.5,27.9,,,,2.3,2.6
311,56.0,18.8,17.4,,,1.3,3.0,3.6
312,43.2,19.0,29.9,,,,2.8,
313,27.2,40.1,22.7,,,,7.0,2.6
314,40.9,31.6,21.8,,,1.8,,3.4
315,54.6,13.6,26.7,,,1.5,,3.0
316,20.4,46.1,27.9,,,2.7,1.4,1.1
317,51.5,20.8,13.9,,,1.0,6.4,5.3
